event,tournament_url,tournament_start_time,round,group,game_url,white_username,black_username,white_uuid,black_uuid,white_rating,black_rating,target,white_result_code,black_result_code,fen,eco,end_time,pgn_result,termination
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787661,umuterdemgunduz,hikaru,0016479a-a347-11e9-b619-7d5b9e8b8800,6f4deb88-7718-11e3-8016-000000000000,2682,3316,white_loss,timeout,win,5Q2/8/2k2np1/4q1N1/6Pp/7P/5PK1/8 w - - 1 54,https://www.chess.com/openings/Modern-Defense-with-1-e4-2.d4-Bg7-3.Nf3,1770739793,0-1,Hikaru won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787663,lachesisq,gorindeshi,ea103016-2647-11e6-8040-000000000000,af27c69c-36ef-11ee-afee-879979d51b45,3279,2678,white_win,win,resigned,3r1k2/p1R1p2b/4N3/4R3/P5p1/1P4P1/2P4r/2K5 b - - 2 35,https://www.chess.com/openings/Sicilian-Defense-Open-Dragon-Rauzer-Variation-9...d5-10.Nxc6-bxc6-11.Bh6,1770739597,1-0,lachesisQ won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787665,jaisankars,nikotheodorou,cb754d68-e4f6-11ef-a68a-9be73e69b3c8,4d8a88c8-4b2b-11eb-89ec-1b7cb3f4e61a,2677,3252,white_loss,checkmated,win,8/8/6k1/5p2/5PK1/6P1/8/7q w - f6 0 55,https://www.chess.com/openings/English-Opening-Anglo-Indian-Kings-Knight-Queens-Indian-Formation...6.O-O-O-O-7.Nc3-Ne4,1770739602,0-1,NikoTheodorou won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787667,gmwso,gcamachomartinez,50758188-90e9-11e6-8018-000000000000,fdec591c-c7f8-11e7-802e-000000000000,3230,2691,white_loss,resigned,win,3r4/1p5R/2p1b2P/p1P5/5k2/PP2p2P/5p2/4KB2 w - - 0 43,https://www.chess.com/openings/Nimzowitsch-Larsen-Attack-Modern-Variation-2.Bb2-d6,1770739689,0-1,GCamachoMartinez won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787669,dey2580,ghandeevam2003,750ce062-0d0d-11e8-8014-000000000000,634b94f8-a0dd-11e4-8014-000000000000,2675,3233,white_loss,resigned,win,8/7p/1p3K1k/8/4P3/8/b1B5/1q6 w - - 0 55,https://www.chess.com/openings/Indian-Game-East-Indian-Przepiorka-Variation...5.O-O-d6-6.a4-Nbd7,1770739753,0-1,GHANDEEVAM2003 won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787671,oleksandr_bortnyk,sn2022s,12d55bb4-1907-11e6-805a-000000000000,736147d0-7111-11e9-a2c9-95fc7a164d54,3228,2673,white_win,win,timeout,4b2k/8/4P3/4KB2/8/8/8/8 b - - 0 73,https://www.chess.com/openings/Alapin-Sicilian-Defense-Barmen-Defense...7.cxd4-Bb4-8.Nc3-O-O-9.Bd3,1770739819,1-0,Oleksandr_Bortnyk won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787673,pizzalover2502,sibelephant,04828fea-e61d-11ef-8507-4390dc4c1d24,8961cafa-071e-11e7-803c-000000000000,2670,3223,white_loss,resigned,win,8/1p6/2p1p3/p2p1k2/P4rrp/1P2RK2/5P2/4R3 w - - 2 49,https://www.chess.com/openings/Italian-Game-Two-Knights-Modern-Bishops-Opening...5.O-O-O-O-6.Re1-d6-7.a4,1770739691,0-1,Sibelephant won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787675,fairchess_on_youtube,theinfinity011,bb226e5c-5126-11e3-801a-000000000000,845d608a-00fa-11f0-83e6-a5920bbc114d,3221,2669,white_win,win,resigned,3qk2r/2b2pp1/p6p/1p3bP1/3PB2P/8/PP2QP2/1K4RR b k - 0 25,https://www.chess.com/openings/Magnus-Queens-Gambit...5.Nf3-Nf6-6.Bg5-Be6,1770739549,1-0,FairChess_on_YouTube won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787677,yohankrokov,micki-taryan,8d6419fe-e4cd-11ec-b461-d92f3cf840d7,d3c47dee-a6de-11e7-804c-000000000000,2667,3220,white_loss,resigned,win,3Q1B2/p4pp1/1p2p1k1/3pqn2/7p/7P/PP3PPK/8 w - - 0 34,https://www.chess.com/openings/French-Defense-Advance-Paulsen-Attack,1770739426,0-1,Micki-taryan won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,1,1,https://www.chess.com/game/live/165052787679,polish_fighter3000,vladgoncharov,32b2e99a-7bb3-11e8-8042-000000000000,8a783616-28ab-11e5-800e-000000000000,3220,2667,white_win,win,resigned,4Rrk1/1q4pp/4p3/2P1n3/1P2NQ2/7P/4BPP1/5RK1 b - - 0 33,https://www.chess.com/openings/Indian-Game-London-System-3...b6-4.e3-Bb7-5.h3,1770739600,1-0,Polish_fighter3000 won by resignation
